New_Member?,Pledge_Status,Candidate_ID,CRPName,Party,District,General_Elec_Result,VotePercent,Total_PAC_Money,Number_of_PAC_Contributions,Business_PACs,Labor_PACs,Ideological_PACs,Lead_PACs,Other_PACs,Net_Receipts,Net_Individual_Total,Candidate_Contributions,Large_Indivs,Small_Indivs,Net_Spent
NO,PAC,N00003682,Rob Portman (R),R,OHS2,L,NA,642916,435,600416,17000,10500,15000,0,26078124,18186917,0,16881260,1305649,26642774
NO,PAC,N00028139,Mazie K Hirono (D),D,HIS2,W,69.30,1121124,583,598000,226625,72999,223500,0,4689197,2993195,0,2486596,497592,3267509
NO,PAC,N00033904,Joyce Beatty (D),D,OH03,W,73.30,715863,417,596588,93500,6275,9500,10000,970811,244098,0,231585,12513,561244
YES,PAC,N00043290,Rick Scott (R),R,FLS1,W,50.20,834159,236,594009,0,59150,181000,0,68618029,15994160,51028228,13994847,1999312,66313266
NO,PAC,N00006052,Mac Thornberry (R),R,TX13,W,81.60,624207,343,593207,20000,6000,4000,1000,1369597,710848,0,694293,16555,1365192
NO,PAC,N00007727,Earl Blumenauer (D),D,OR03,W,72.60,705441,401,591288,97500,14653,2000,0,1374537,509339,0,399339,110000,1444234
NO,PAC,N00031227,Larry Bucshon (R),R,IN08,W,64.40,662706,368,591206,23500,8500,39500,0,965433,237653,0,230200,7453,1024191
NO,PAC,N00033240,Raja Krishnamoorthi (D),D,IL08,W,66.00,973863,628,590583,254500,79580,48200,1000,5068347,4140458,8133,3956455,184003,1663009
NO,PAC,N00035527,Bruce Westerman (R),R,AR04,W,66.70,670200,425,590250,10500,17250,52200,0,1561040,889773,0,820096,69677,947196
NO,PAC,N00038781,Lloyd Smucker (R),R,PA11,W,58.60,847613,571,589069,10000,65844,179200,3500,1302707,417859,0,403832,14027,1224468
NO,PAC,N00034044,Joe Kennedy III (D),D,MA04,W,0.00,767544,429,587544,148500,20500,10000,1000,4255893,3154698,0,2369378,785320,2665498
NO,PAC,N00033839,Marc Veasey (D),D,TX33,W,76.10,806389,502,585639,200500,13750,5500,1000,1373799,563783,0,545033,18750,1267924
NO,PAC,N00002674,Sanford Bishop (D),D,GA02,W,59.60,724784,406,578630,107500,26904,9750,2000,1118203,218042,0,211615,6427,1153645
NO,PAC,N00029891,Gerry Connolly (D),D,VA11,W,71.10,793169,495,577150,180500,17099,18420,0,1923348,1068074,0,803068,265005,1000376
NO,PAC,N00007099,Ken Calvert (R),R,CA42,W,58.90,659373,354,576923,14500,38700,27500,1750,1539568,837027,0,820920,16107,1551261
NO,PAC,N00038779,Brian Fitzpatrick (R),R,PA01,W,51.30,1145745,657,576495,217000,127550,221700,3000,3081809,1318308,0,1239146,79162,2780210
NO,PAC,N00036018,Don Beyer (D),D,VA08,W,76.10,670657,420,575593,63500,19044,11520,1000,2074659,1318360,0,1194224,124136,1767491
NO,PAC,N00025445,David Kustoff (R),R,TN08,W,67.60,683211,421,574962,10500,28250,68499,1000,1695916,1041907,0,1024170,17737,1594096
NO,PAC,N00031782,Tim Scott (R),R,SCS1,L,NA,597240,383,570900,7500,5840,12000,1000,14098793,7642989,0,7216298,426687,10138991
NO,PAC,N00033508,Eric Swalwell (D),D,CA15,W,72.20,757932,470,569654,155200,32950,128,0,2766327,1833699,0,1637507,196192,2135911
NO,PAC,N00002097,Mark Warner (D),D,VAS2,L,NA,598200,352,568700,13500,14000,1000,1000,16573767,11738562,63275,10169370,1569184,17585617
NO,PAC,N00037260,Lou Correa (D),D,CA46,W,65.50,704918,492,567418,88500,29500,19500,0,1117516,400172,0,388917,11255,466281
NO,PAC,N00038414,Lisa Blunt Rochester (D),D,DE01,W,64.50,778423,494,565373,134500,38050,38500,2000,1202187,374320,1280,295780,78540,965832
NO,PAC,N00033395,Dan Kildee (D),D,MI05,W,59.50,751550,450,564750,149800,19500,17000,500,1113146,358465,0,289219,69247,966446
NO,PAC,N00031857,Steve Womack (R),R,AR03,W,64.70,613787,367,554787,3000,27000,28000,1000,1198819,527982,0,497873,30109,1183674
NO,PAC,N00037269,Brian Mast (R),R,FL18,W,54.30,1010662,580,551883,92000,114044,252735,0,5346574,3734391,0,2098372,1636019,4530173
NO,PAC,N00003689,Steve Chabot (R),R,OH01,W,51.80,753988,434,551496,3000,47489,152003,0,1578379,797185,0,729503,67682,1964323
NO,PAC,N00039090,Drew Ferguson (R),R,GA03,W,65.50,626284,420,545100,36000,11684,32500,1000,1172240,483102,0,450225,32877,1009458
NO,PAC,N00006134,Diana DeGette (D),D,CO01,W,73.80,637750,374,541550,76700,12000,7500,0,1254313,573229,0,498132,75097,1157449
NO,PAC,N00031128,Bob Gibbs (R),R,OH07,W,58.90,709388,429,540324,54000,29464,85100,500,1055843,318205,0,292084,26122,1837693
NO,PAC,N00038601,Jimmy Panetta (D),D,CA20,W,79.70,686415,456,537165,86250,43800,19200,0,1114931,434148,270,421876,12272,664822
NO,PAC,N00036403,Dan Newhouse (R),R,WA04,W,62.80,657711,401,528411,67000,28800,31000,2500,1089512,423028,0,363437,59591,965527
NO,PAC,N00035347,Barry Loudermilk (R),R,GA11,W,61.80,577395,366,527245,5000,14150,31000,0,796400,224255,0,211916,12340,476860
NO,PAC,N00036149,Debbie Dingell (D),D,MI12,W,68.10,685300,399,526300,138500,16500,3000,1000,1145816,458986,0,376509,82477,1079967
NO,PAC,N00031557,Dennis Heck (D),D,WA10,W,61.50,649750,400,525500,99000,18250,7000,0,1527723,743629,0,654426,89204,1044527
NO,PAC,N00030780,Cory Gardner (R),R,COS2,L,NA,541960,335,523750,1000,7710,9500,0,14027091,9462237,0,7680696,1781536,13489737
NO,PAC,N00003288,Bennie G Thompson (D),D,MS02,W,71.80,756198,413,520197,226000,5001,5000,0,1008890,205122,0,194947,10174,962321
NO,PAC,N00032457,Austin Scott (R),R,GA08,W,100.00,588400,352,517500,15500,20500,33900,1000,786079,195929,0,188938,6991,579098
NO,PAC,N00026790,Emanuel Cleaver (D),D,MO05,W,61.60,670200,370,514500,117700,17500,19500,1000,1036469,277928,0,242873,35055,816403
NO,PAC,N00040712,Ron Estes (R),R,KS04,W,59.40,671814,386,513064,10000,21750,126000,1000,1674880,875526,0,845368,30159,1219207
NO,PAC,N00024809,Joe Wilson (R),R,SC02,W,56.30,600443,345,513043,6000,53400,24000,4000,1097306,484384,0,438643,45741,1429534
NO,PAC,N00032416,Rob Woodall (R),R,GA07,W,50.70,614650,358,512750,14000,34700,53200,0,1089622,460022,0,421595,38427,923833
NO,PAC,N00027035,G K Butterfield (D),D,NC01,W,69.80,577633,378,510098,52500,11035,4000,0,760475,102340,0,92505,9834,880387
NO,PAC,N00035311,Mark Walker (R),R,NC06,W,56.60,572825,368,506745,10000,12500,43580,0,1216685,296499,0,275380,21119,612999
NO,PAC,N00035972,John Lee Ratcliffe (R),R,TX04,W,75.70,567680,376,505430,12000,20750,29500,0,746977,454842,0,426809,28032,489189
NO,PAC,N00031681,David McKinley (R),R,WV01,W,64.60,797256,442,504506,237250,22500,32000,1000,1209760,397560,0,381865,15695,869928
NO,PAC,N00033814,Alex Mooney (R),R,WV02,W,54.00,772909,417,501250,15000,88324,168335,0,1730187,982568,0,830268,152300,868067
NO,PAC,N00007021,Juan Vargas (D),D,CA51,W,68.90,610900,340,499900,94500,14500,2000,0,874890,185678,0,182779,2900,784216
NO,PAC,N00034277,Sean Patrick Maloney (D),D,NY18,W,55.10,799751,459,499857,165166,59628,75100,0,2524635,1675745,0,1426721,249024,3885064
NO,PAC,N00003813,Pete Visclosky (D),D,IN01,W,65.10,689149,356,497813,183600,6236,1500,0,1053669,346299,0,344693,1605,820486
NO,PAC,N00029459,Rob Wittman (R),R,VA01,W,55.20,571770,365,497270,50000,10500,13000,1000,1411558,749490,0,632097,117394,1604109
NO,PAC,N00035431,Seth Moulton (D),D,MA06,W,65.20,622251,404,496838,73000,35913,16500,0,2282922,1473438,0,1307017,166421,2417043
NO,PAC,N00007781,Peter DeFazio (D),D,OR04,W,56.00,749508,407,493425,219000,24278,12805,0,1754942,723484,0,432264,291220,1255450
NO,PAC,N00002942,Charlie Crist (D),D,FL13,W,57.60,944096,586,488815,194000,117781,143500,0,3180303,2304569,0,2169813,134756,1350097
NO,PAC,N00003473,Hal Rogers (R),R,KY05,W,78.90,535332,321,483832,23500,7500,10500,10000,836814,326774,0,322150,4624,893268
NO,PAC,N00027509,Scott Tipton (R),R,CO03,W,51.50,549995,322,481995,1000,7500,59500,0,1586296,854085,0,778952,75134,1649000
NO,PAC,N00042194,Troy Balderson (R),R,OH12,W,51.60,806050,363,479850,37000,66000,223200,0,2304530,1332981,0,1146748,186233,2128521
NO,PAC,N00027239,Daniel Lipinski (D),D,IL03,W,73.00,794085,472,479710,194000,85425,31950,3000,1498678,663819,0,553450,110369,2291278
NO,NO PAC,N00001102,Nydia M Velazquez (D),D,NY07,W,93.40,620439,348,479465,101500,11099,28000,375,954594,352469,0,310676,41793,707735
NO,PAC,N00029736,Glenn Thompson (R),R,PA15,W,67.80,571467,415,479312,23500,37305,20850,10500,1235234,642623,0,585441,57182,1309125
NO,PAC,N00000515,Peter Welch (D),D,VT01,W,67.80,609850,358,477350,111500,21000,0,0,804175,179980,0,126491,53489,627765
NO,PAC,N00009759,Rick Larsen (D),D,WA02,W,71.30,647550,402,476750,156550,13250,1000,0,1046665,288146,0,226837,61308,912718
NO,PAC,N00032029,Morgan Griffith (R),R,VA09,W,65.20,521633,264,474483,0,9000,38150,0,1059744,466169,2199,400619,65550,806320
NO,PAC,N00031559,Jaime Herrera Beutler (R),R,WA03,W,52.70,650756,378,473973,10000,56250,109533,1000,2217244,1410943,0,1061210,349732,2149451
NO,PAC,N00005736,Brian Babin (R),R,TX36,W,72.60,520655,340,469500,23500,12655,15000,0,1097370,587415,0,555887,31529,681462
NO,PAC,N00036275,John Moolenaar (R),R,MI04,W,62.60,522738,346,468925,2000,15000,35563,1250,1108421,575682,0,544588,31094,723364
NO,PAC,N00026914,Gwen Moore (D),D,WI04,W,75.60,604766,356,459350,125666,14750,5000,0,943769,257500,0,219760,37740,917086
NO,PAC,N00025292,Rob Bishop (R),R,UT01,W,61.60,532085,290,457885,36500,23000,14700,0,1195354,630353,0,613781,16573,1018637
